"probe_id","chr","pos","UCSC_RefGene_Name","Relation_to_Island","array"
"cg02711608","chr19",47287964,"SLC1A5;SLC1A5;SLC1A5;SLC1A5","N_Shelf","450K"
"cg20306694","chr12",51718251,"BIN2","OpenSea","450K"
"cg26369667","chr11",101981789,"YAP1;YAP1","Island","450K"
"cg26008007","chr2",232545866,"","Island","450K"
"cg19692318","chr6",131384600,"EPB41L2;EPB41L2;EPB41L2","S_Shore","450K"
"cg24537348","chr17",80545705,"FOXK2","S_Shore","450K"
"cg19706803","chr1",3126033,"PRDM16;PRDM16","OpenSea","450K"
"cg06516445","chr11",102963032,"DCUN1D5","Island","450K"
"cg06523224","chr15",83953883,"BNC1","Island","450K"
"cg05962079","chr1",2428333,"PLCH2","OpenSea","450K"
"cg20624830","chr10",22725885,"","Island","450K"
"cg01305596","chr16",16228299,"ABCC1;ABCC1;ABCC1;ABCC1;ABCC1","OpenSea","450K"
"cg02995045","chr1",6419906,"ACOT7;ACOT7;ACOT7;ACOT7","OpenSea","450K"
"cg16014412","chr1",9687471,"","S_Shore","450K"
"cg00907427","chr1",23668691,"HNRNPR;HNRNPR;HNRNPR;HNRNPR","N_Shore","450K"
"cg27537125","chr1",25349681,"","OpenSea","450K"
"cg01236573","chr1",26248897,"","N_Shore","450K"
"cg07173823","chr1",45190519,"C1orf228","Island","450K"
"cg03725309","chr1",109757585,"SARS","S_Shore","450K"
"cg18933331","chr1",110186418,"","S_Shore","450K"
"cg16246545","chr1",120255941,"PHGDH","S_Shore","450K"
"cg19266329","chr1",145456128,"","OpenSea","450K"
"cg10401367","chr1",151031295,"CDC42SE1;CDC42SE1;MLLT11","N_Shore","450K"
"cg19238380","chr1",156093948,"LMNA;LMNA;LMNA","OpenSea","450K"
"cg04843111","chr1",156617074,"BCAN;BCAN","S_Shore","450K"
"cg00045114","chr1",172674159,"","OpenSea","450K"
"cg16290996","chr1",173835989,"GAS5;SNORD78;SNORD76;SNORD77;SNORD44;SNORD79","N_Shore","450K"
"cg13222915","chr1",184598594,"","OpenSea","450K"
"cg00567854","chr1",203273693,"BTG2","N_Shore","450K"
"cg19704902","chr2",8445893,"","OpenSea","450K"
"cg24242519","chr2",16846569,"FAM49A","OpenSea","450K"
"cg21187770","chr2",26205876,"KIF3C","S_Shore","450K"
"cg01054402","chr2",85551850,"TGOLN2","N_Shelf","450K"
"cg09999582","chr2",103352711,"MFSD9","N_Shore","450K"
"cg18018313","chr2",227657192,"IRS1","S_Shore","450K"
"cg06846495","chr2",232326668,"NCL","N_Shore","450K"
"cg05903736","chr2",240197131,"HDAC4","S_Shore","450K"
"cg23482898","chr3",12858887,"CAND2;CAND2","S_Shelf","450K"
"cg05670953","chr3",37033903,"MLH1;MLH1;MLH1;EPM2AIP1;MLH1","N_Shore","450K"
"cg12340144","chr3",38388808,"XYLB","S_Shore","450K"
"cg09882118","chr3",48508272,"TREX1;TREX1","OpenSea","450K"
"cg25109663","chr3",114102785,"ZBTB20;ZBTB20;ZBTB20;ZBTB20;ZBTB20;ZBTB20;ZBTB20","OpenSea","450K"
"cg17185710","chr3",151984822,"MBNL1;MBNL1;LOC401093;LOC401093","N_Shore","450K"
"cg00085438","chr3",152049980,"MBNL1;MBNL1;MBNL1;MBNL1;MBNL1;MBNL1;MBNL1","OpenSea","450K"
"cg12197470","chr3",159755869,"","N_Shore","450K"
"cg14576319","chr3",171175713,"TNIK;TNIK;TNIK;TNIK;TNIK;TNIK;TNIK;TNIK;TNIK","N_Shelf","450K"
"cg06657944","chr3",176915062,"TBL1XR1","N_Shore","450K"
"cg01526748","chr3",191930926,"FGF12;FGF12","OpenSea","450K"
"cg05205842","chr4",38673130,"KLF3","OpenSea","450K"
"cg04487857","chr4",139096540,"SLC7A11","OpenSea","450K"
"cg22160883","chr5",138609222,"MATR3;SNHG4","N_Shore","450K"
"cg12807764","chr5",146864669,"","OpenSea","450K"
"cg19459094","chr5",176856845,"GRK6;GRK6;GRK6","S_Shelf","450K"
"cg09326440","chr6",30458161,"HLA-E","Island","450K"
"cg11414821","chr6",30652771,"KIAA1949;KIAA1949","N_Shore","450K"
"cg02104962","chr6",31548314,"","N_Shore","450K"
"cg11682350","chr6",33240284,"VPS52;RPS18","S_Shore","450K"
"cg18842187","chr6",33647826,"ITPR3","OpenSea","450K"
"cg08335767","chr6",34206495,"HMGA1;HMGA1;HMGA1;HMGA1;HMGA1;HMGA1","S_Shore","450K"
"cg18336453","chr6",43082296,"PTK7;PTK7;PTK7;PTK7","OpenSea","450K"
"cg04737759","chr6",155253937,"","OpenSea","450K"
"cg22871253","chr6",159238744,"EZR;EZR","N_Shore","450K"
"cg21248060","chr7",1039957,"C7orf50;C7orf50;C7orf50","Island","450K"
"cg16492851","chr7",1062681,"C7orf50;MIR339;C7orf50;C7orf50","Island","450K"
"cg04907244","chr7",22894795,"SNORD93","S_Shore","450K"
"cg16882373","chr7",26191458,"NFE2L3","N_Shore","450K"
"cg21429551","chr7",30635762,"GARS","S_Shore","450K"
"cg20249277","chr7",112120877,"C7orf53;C7orf53","OpenSea","450K"
"cg05143694","chr7",132299913,"PLXNA4","OpenSea","450K"
"cg17192599","chr7",151504864,"PRKAG2;PRKAG2","OpenSea","450K"
"cg02719954","chr8",23830907,"","OpenSea","450K"
"cg02707799","chr8",41814854,"MYST3;MYST3;MYST3","OpenSea","450K"
"cg20699548","chr8",71060638,"NCOA2","OpenSea","450K"
"cg11253416","chr8",82643680,"CHMP4C","N_Shore","450K"
"cg11130692","chr8",141643919,"EIF2C2;EIF2C2","N_Shore","450K"
"cg00232160","chr9",129468157,"","Island","450K"
"cg07957491","chr9",134407190,"UCK1;UCK1","S_Shore","450K"
"cg06638811","chr9",137030555,"RNU6ATAC","Island","450K"
"cg03997643","chr9",137030726,"RNU6ATAC","S_Shore","450K"
"cg10317175","chr10",25247855,"","OpenSea","450K"
"cg07104958","chr10",46168551,"ANUBL1;ANUBL1","Island","450K"
"cg23444264","chr10",72219751,"","S_Shore","450K"
"cg17485681","chr10",73565625,"CDH23","Island","450K"
"cg16407699","chr10",74020428,"","N_Shore","450K"
"cg19939077","chr10",81108060,"PPIF","S_Shore","450K"
"cg03599037","chr10",82172508,"C10orf58;C10orf58","S_Shelf","450K"
"cg06996423","chr10",105236233,"CALHM3","S_Shelf","450K"
"cg05457221","chr10",134272437,"","OpenSea","450K"
"cg10665488","chr11",796569,"SLC25A22","N_Shore","450K"
"cg23299618","chr11",45102239,"","OpenSea","450K"
"cg12616487","chr11",62379063,"ROM1;EML3","N_Shore","450K"
"cg16977872","chr11",64008132,"FKBP2;FKBP2;FKBP2","N_Shore","450K"
"cg10816169","chr11",66080868,"","Island","450K"
"cg08962271","chr11",67273496,"PITPNM1;PITPNM1","N_Shore","450K"
"cg17058475","chr11",68607737,"CPT1A;CPT1A","N_Shore","450K"
"cg22986999","chr11",68781976,"MRGPRF;MRGPRF","S_Shelf","450K"
"cg08115371","chr11",79115706,"ODZ4","OpenSea","450K"
"cg10010533","chr11",82445170,"FAM181B","S_Shore","450K"
"cg03331229","chr11",102821111,"MMP13","OpenSea","450K"
"cg18282388","chr11",129716470,"TMEM45B","OpenSea","450K"
"cg14741228","chr12",31476479,"FAM60A;FAM60A;FLJ13224;FAM60A","N_Shore","450K"
"cg13442969","chr12",68044208,"DYRK2;DYRK2","S_Shore","450K"
"cg01687189","chr12",102225365,"GNPTAB","S_Shore","450K"
"cg23975840","chr12",117042895,"","OpenSea","450K"
"cg02499214","chr12",122230490,"RHOF","N_Shore","450K"
"cg26829071","chr12",131590596,"GPR133","OpenSea","450K"
"cg00986580","chr14",22951241,"","OpenSea","450K"
"cg16702313","chr14",74251926,"C14orf43","N_Shore","450K"
"cg15821562","chr14",90083275,"FOXN3","N_Shelf","450K"
"cg24754633","chr14",91831327,"CCDC88C","OpenSea","450K"
"cg20303561","chr14",91881497,"CCDC88C","N_Shore","450K"
"cg18125510","chr14",100841768,"WARS;WDR25;WARS;WARS;WDR25;WARS;WARS;WARS","N_Shore","450K"
"cg02394812","chr15",44092488,"SERINC4;C15orf63","N_Shore","450K"
"cg23893460","chr15",72492422,"PKM2;PKM2;PKM2","S_Shelf","450K"
"cg23166988","chr16",2070861,"","Island","450K"
"cg23654112","chr16",2525928,"TBC1D24","Island","450K"
"cg09175009","chr16",10912699,"FAM18A","Island","450K"
"cg08766770","chr16",28123059,"XPO6","OpenSea","450K"
"cg05683445","chr16",28303182,"SBK1","N_Shore","450K"
"cg12688670","chr16",29801602,"KIF22","N_Shore","450K"
"cg08916477","chr16",30391350,"SEPT1","S_Shore","450K"
"cg10121429","chr16",75466707,"CFDP1","N_Shore","450K"
"cg04491089","chr16",84151300,"MBTPS1","S_Shore","450K"
"cg21870662","chr17",2241570,"SGSM2;TSR1;SGSM2","S_Shore","450K"
"cg01620757","chr17",4635229,"MED11","Island","450K"
"cg16696035","chr17",17126176,"FLCN;FLCN","S_Shore","450K"
"cg09155905","chr17",33447236,"FNDC8;RAD51L3;RAD51L3;RAD51L3","S_Shore","450K"
"cg17757575","chr17",34068891,"RASL10B","S_Shore","450K"
"cg27492942","chr17",36885965,"CISD3;MLLT6","N_Shore","450K"
"cg21626848","chr17",39969267,"SC65;FKBP10;FKBP10","S_Shore","450K"
"cg08677210","chr17",55550613,"MSI2;MSI2","OpenSea","450K"
"cg06940168","chr17",64370665,"PRKCA","OpenSea","450K"
"cg15253293","chr17",79366853,"","Island","450K"
"cg22332722","chr18",25754857,"CDH2","N_Shore","450K"
"cg01859460","chr19",2273050,"OAZ1","Island","450K"
"cg01614597","chr19",14185403,"LOC113230","Island","450K"
"cg02489552","chr19",15121531,"CCDC105","N_Shore","450K"
"cg03524354","chr19",54301639,"NLRP12;NLRP12","OpenSea","450K"
"cg08559712","chr20",16030674,"MACROD2;MACROD2","OpenSea","450K"
"cg03184011","chr20",39945503,"","N_Shore","450K"
"cg09365259","chr22",18594196,"TUBA8","Island","450K"
"cg03013276","chr22",24058932,"LOC91316","N_Shore","450K"
"cg14588638","chr22",29665400,"EWSR1;EWSR1;EWSR1;EWSR1;RHBDD3;EWSR1","S_Shore","450K"
"cg03954858","chr22",40404957,"FAM83F","OpenSea","450K"
"cg04134965","chr22",44423205,"PARVB;PARVB","S_Shelf","450K"
"cg00716016","chr9",3180374,"","N_Shore","450K"
"cg00103778","chr20",30196041,"","N_Shore","450K"
"cg08688548","chr15",83317398,"CPEB1","Island","450K"
"cg09191335","chr20",35241157,"SLA2;SLA2","OpenSea","450K"
"cg15049370","chr5",149186389,"PPARGC1B","OpenSea","450K"
"cg13121938","chr13",114871497,"RASA3","S_Shore","450K"
"cg25221975","chr3",13663444,"FBLN2;FBLN2;FBLN2","OpenSea","450K"
"cg02256576","chr16",66995192,"CES3;CES3","OpenSea","450K"
"cg01883662","chr3",196065289,"TM4SF19","OpenSea","450K"
"cg07387591","chr20",17208649,"PCSK2","Island","450K"
"cg01001791","chr22",41924687,"POLR3H;ACO2;POLR3H;POLR3H","OpenSea","450K"
"cg13706315","chr9",134724316,"","OpenSea","450K"
"cg03523740","chr1",32645027,"TXLNA","N_Shore","450K"
"cg27477373","chr19",56879645,"ZNF542;ZNF542;ZNF542;ZNF542","Island","450K"
"cg05303280","chr15",51632611,"GLDN","N_Shore","450K"
"cg23028286","chr15",51614521,"CYP19A1;CYP19A1","OpenSea","450K"
"cg03458172","chr3",157815672,"SHOX2;SHOX2;SHOX2","Island","450K"
"cg18076842","chr11",93262607,"C11orf75","OpenSea","450K"
"cg19825437","chr3",169383292,"","N_Shelf","450K"
"cg00717678","chr17",1554577,"PRPF8;RILP","S_Shore","450K"
"cg09801924","chr11",65425948,"RELA;RELA","OpenSea","450K"
"cg24135793","chr19",13122567,"NFIX","Island","450K"
"cg14718379","chr7",71806067,"CALN1","S_Shelf","450K"
"cg01373932","chr6",31502462,"BAT1;BAT1","OpenSea","450K"
"cg12680071","chr19",36139062,"COX6B1","S_Shelf","450K"
"cg01005506","chr10",64565768,"ADO;ADO","Island","450K"
"cg26103104","chr5",139490895,"","N_Shore","450K"
"cg22007110","chr7",30737599,"","OpenSea","450K"
"cg09284949","chr19",51190179,"SHANK1","S_Shore","450K"
"cg09635954","chr7",29605624,"PRR15","N_Shore","450K"
"cg22499893","chr1",24307535,"SFRS13A;SFRS13A","S_Shore","450K"
"cg23728471","chr17",42345689,"SLC4A1","OpenSea","450K"
"cg20732160","chr3",48590040,"PFKFB4","N_Shelf","450K"
"cg01278873","chr19",44764101,"ZNF233;ZNF233","Island","450K"
"cg21550372","chr14",100908908,"WDR25;WDR25","OpenSea","450K"
"cg00256932","chr22",51041732,"MAPK8IP2;MAPK8IP2","N_Shore","450K"
"cg03546163","chr6",35654363,"FKBP5;FKBP5;FKBP5;FKBP5","N_Shore","450K"
"cg14395885","chr9",130700923,"DPM2","S_Shore","450K"
"cg16423756","chr11",122526190,"UBASH3B","N_Shore","450K"
"cg00359465","chr1",2004346,"PRKCZ;PRKCZ","N_Shore","450K"
"cg18487598","chr5",178735372,"ADAMTS2;ADAMTS2","OpenSea","450K"
"cg10381071","chr15",70391035,"TLE3;TLE3;TLE3","Island","450K"
"cg20970380","chr1",116676103,"C1orf161","OpenSea","450K"
"cg02538135","chr19",2200125,"DOT1L","Island","450K"
"cg07866212","chr8",23836952,"","OpenSea","450K"
"cg11704631","chr21",36395663,"RUNX1","N_Shelf","450K"
"cg07769421","chr17",80816851,"TBCD","N_Shore","450K"
"cg23747342","chr12",25539794,"","S_Shore","450K"
"cg15690475","chr17",44101453,"MAPT;MAPT;MAPT;MAPT;MAPT;MAPT","OpenSea","450K"
"cg26841068","chr1",203456691,"PRELP;PRELP","N_Shore","450K"
"cg17953300","chr11",65418265,"SIPA1;SIPA1","N_Shore","450K"
"cg25673668","chr8",895601,"","S_Shore","450K"
"cg03401875","chr5",178684658,"ADAMTS2;ADAMTS2","Island","450K"
"cg21786227","chr1",154951605,"CKS1B;CKS1B","OpenSea","450K"
"cg19731612","chr5",176559334,"NSD1;NSD1","Island","450K"
"cg10891521","chr17",81047941,"METRNL","Island","450K"
"cg15636519","chr2",191894418,"STAT4","OpenSea","450K"
"cg06937549","chr5",179046350,"HNRNPH1","N_Shelf","450K"
"cg03404339","chr12",52639319,"KRT7","Island","450K"
"cg10803871","chr5",174082675,"","OpenSea","450K"
"cg03163545","chr16",1593415,"IFT140;TMEM204","S_Shore","450K"
"cg18289746","chr6",112408679,"TUBE1;C6orf225;TUBE1;C6orf225","Island","450K"
"cg21194066","chr11",67052509,"ADRBK1","Island","450K"
"cg01182455","chr9",131313189,"","N_Shore","450K"
"cg06232845","chr7",133625048,"EXOC4","OpenSea","450K"
"cg14259466","chr10",135090997,"ADAM8;ADAM8;ADAM8","S_Shore","450K"
"cg11697038","chr1",27931284,"AHDC1","S_Shore","450K"
"cg09482421","chr6",27470541,"","OpenSea","450K"
"cg01881182","chr16",8806531,"ABAT;ABAT","OpenSea","450K"
"cg10035272","chr6",142467043,"VTA1","N_Shore","450K"
"cg19939130","chr1",158978468,"IFI16","OpenSea","450K"
"cg02633398","chr16",88974944,"CBFA2T3;CBFA2T3","N_Shore","450K"
"cg27017993","chr14",74814040,"C14orf115","OpenSea","450K"
"cg08250921","chr16",88111009,"","S_Shore","450K"
"cg26284735","chr3",5065165,"","N_Shelf","450K"
"cg15033653","chr12",113587581,"CCDC42B","N_Shelf","450K"
"cg26340050","chr14",105771879,"","S_Shelf","450K"
"cg27155460","chr10",45420821,"TMEM72","OpenSea","450K"
"cg13866253","chr11",77093001,"PAK1;PAK1","OpenSea","450K"
"cg23352030","chr20",62198469,"PRIC285;PRIC285","Island","450K"
"cg19536127","chr2",47404286,"CALM2","S_Shore","450K"
"cg01156249","chr16",4714794,"MGRN1;MGRN1;MGRN1;MGRN1","OpenSea","450K"
"cg04978583","chr1",12091409,"MIIP","OpenSea","450K"
"cg18121224","chr5",176559563,"NSD1;NSD1","Island","450K"
"cg00407659","chr5",150538414,"ANXA6;ANXA6","S_Shore","450K"
"cg08695062","chr5",53813260,"SNX18;SNX18;SNX18","N_Shore","450K"
"cg02314339","chr10",91020653,"","OpenSea","450K"
"cg03887584","chr10",98130310,"TLL2","OpenSea","450K"
"cg08307171","chr19",1957775,"CSNK1G2","Island","450K"
"cg21845080","chr3",196065306,"TM4SF19","OpenSea","450K"
"cg07912416","chr6",30860130,"DDR1;DDR1;DDR1","OpenSea","450K"
"cg13547518","chr2",2653590,"","N_Shore","450K"
"cg10603800","chr17",80408909,"C17orf62;C17orf62;C17orf62","S_Shore","450K"
"cg11494699","chr11",36588217,"RAG1","OpenSea","450K"
"cg13966547","chr1",2406284,"PLCH2","N_Shelf","450K"
"cg25746394","chr19",45450501,"APOC2","OpenSea","450K"
"cg15326297","chr2",235464680,"","OpenSea","450K"
"cg22537604","chr19",43857074,"CD177","OpenSea","450K"
"cg10361922","chr17",40925790,"VPS25","OpenSea","450K"
"cg13341668","chr3",50359909,"HYAL2;HYAL2","Island","450K"
"cg11899596","chr8",145663791,"NFKBIL2","S_Shore","450K"
"cg03394159","chr8",29197844,"DUSP4;DUSP4","S_Shelf","450K"
"cg20414364","chr5",1608614,"LOC728613","OpenSea","450K"
"cg19525078","chr12",29581042,"OVCH1","OpenSea","450K"
"cg22496559","chr3",196065318,"TM4SF19","OpenSea","450K"
"cg01628467","chr17",7037406,"","OpenSea","450K"
"cg19821589","chr2",170591199,"KLHL23","S_Shore","450K"
"cg06059663","chr1",245319431,"KIF26B","Island","450K"
"cg14014731","chr9",19378679,"RPS6","N_Shore","450K"
"cg01017397","chr7",955497,"ADAP1","OpenSea","450K"
"cg01877260","chr15",38845483,"RASGRP1;RASGRP1","OpenSea","450K"
"cg08204159","chr19",54642290,"CNOT3","Island","450K"
"cg06825661","chr18",13260398,"C18orf1;C18orf1","N_Shore","450K"
"cg11302401","chr6",6688847,"","OpenSea","450K"
"cg26687579","chr1",2243111,"","N_Shelf","450K"
"cg22503354","chr12",7341644,"PEX5;PEX5;PEX5;PEX5;PEX5","N_Shore","450K"
"cg18595324","chr1",31838695,"FABP3","OpenSea","450K"
"cg22954438","chr3",23548050,"UBE2E2","OpenSea","450K"
"cg20283107","chr8",124788969,"FAM91A1","OpenSea","450K"
"cg13836098","chr6",26225268,"HIST1H3E","N_Shore","450K"
"cg23684449","chr16",46919194,"GPT2;GPT2;GPT2","S_Shore","450K"
"cg12474798","chr10",64565772,"ADO;ADO","Island","450K"
"cg18068637","chr5",168245286,"SLIT3","OpenSea","450K"
"cg11791144","chr8",32129319,"NRG1","OpenSea","450K"
"cg02346737","chr5",142490096,"ARHGAP26;ARHGAP26","OpenSea","450K"
"cg15329179","chr5",131993728,"IL13","S_Shore","450K"
"cg06549901","chr16",55851316,"CES1;CES1;CES1","OpenSea","450K"
"cg01022780","chr3",48598236,"","S_Shelf","450K"
"cg11724472","chr2",12249222,"","OpenSea","450K"
"cg11599718","chr12",123357128,"VPS37B","OpenSea","450K"
"cg10692140","chr6",30496072,"","OpenSea","450K"
"cg02171825","chr1",26517586,"CATSPER4","OpenSea","450K"
"cg18120259","chr6",43894639,"LOC100132354","OpenSea","450K"
"cg07375256","chr7",99222196,"ZNF498","OpenSea","450K"
"cg22304262","chr19",47287778,"SLC1A5;SLC1A5;SLC1A5","N_Shelf","450K"
"cg24134897","chr11",859670,"TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4;TSPAN4","S_Shore","450K"
"cg20146909","chr1",90289611,"LRRC8D;LRRC8D","S_Shelf","450K"
"cg16615058","chr16",31161005,"PRSS36","S_Shore","450K"
"cg07167185","chr1",24120017,"LYPLA2","S_Shelf","450K"
"cg24707200","chr1",156833163,"NTRK1;NTRK1;NTRK1","S_Shelf","450K"
"cg19458497","chr11",63403371,"ATL3","OpenSea","450K"
"cg03877174","chr17",4923126,"KIF1C","OpenSea","450K"
"cg04460609","chr4",16532808,"LDB2;LDB2","OpenSea","450K"
"cg27546431","chr17",1372751,"MYO1C;MYO1C;MYO1C","N_Shelf","450K"
"cg00116699","chr2",240205260,"HDAC4","OpenSea","450K"
"cg26959945","chr7",20233217,"MACC1","OpenSea","450K"
"cg18763536","chr12",11812062,"ETV6","OpenSea","450K"
"cg03068497","chr7",30635838,"GARS","S_Shore","450K"
"cg03260624","chr1",91970722,"CDC7;CDC7;CDC7","S_Shelf","450K"
"cg09940677","chr14",103415458,"CDC42BPB","OpenSea","450K"
"cg04800503","chr17",46648533,"HOXB3","OpenSea","450K"
"cg24711224","chr5",176561865,"NSD1;NSD1","S_Shore","450K"
"cg17962756","chr5",172769199,"","OpenSea","450K"
"cg10179004","chr3",48601902,"COL7A1;UCN2","OpenSea","450K"
"cg23205886","chr5",138611766,"SNHG4;MATR3","S_Shore","450K"
"cg05194114","chr15",43477396,"CCNDBP1;CCNDBP1;CCNDBP1;CCNDBP1","N_Shore","450K"
"cg15664462","chr3",151996146,"MBNL1;MBNL1","OpenSea","450K"
"cg26599989","chr11",1297087,"TOLLIP","N_Shore","450K"
"cg23598378","chr6",42072986,"C6orf132","S_Shore","450K"
"cg03967798","chr4",145268453,"","OpenSea","450K"
"cg09652746","chr16",67225437,"E2F4;EXOC3L","OpenSea","450K"
"cg08857797","chr17",40927699,"VPS25","OpenSea","450K"
"cg24628310","chr3",52813873,"ITIH1;ITIH1;ITIH1;ITIH1","OpenSea","450K"
"cg08545213","chr3",37959356,"CTDSPL;CTDSPL","OpenSea","450K"
"cg03045648","chr11",64535598,"SF1;SF1;SF1","S_Shore","450K"
"cg17466510","chr1",116877566,"","OpenSea","450K"
"cg14817906","chr2",97466833,"CNNM4","OpenSea","450K"
"cg08317252","chr19",1223163,"STK11","N_Shelf","450K"
"ch.3.82259654F","chr3",82176964,"","OpenSea","450K"
"cg18912103","chr4",2944692,"C4orf10;NOP14","OpenSea","450K"
"cg08122070","chr1",1689610,"NADK","N_Shelf","450K"
"cg12137220","chr17",19220813,"EPN2;EPN2;EPN2","OpenSea","450K"
"cg05261851","chr16",68001206,"SLC12A4;SLC12A4;SLC12A4;SLC12A4","N_Shore","450K"
"cg09365924","chr12",53611399,"RARG;RARG","N_Shelf","450K"
"cg03788408","chr16",4441939,"CORO7","OpenSea","450K"
"cg26335760","chr3",133606960,"RAB6B","OpenSea","450K"
"cg06323483","chr3",134936427,"EPHB1","OpenSea","450K"
"cg09924669","chr16",1593214,"IFT140;TMEM204","S_Shore","450K"
"cg01425762","chr16",81666633,"CMIP;CMIP","OpenSea","450K"
"cg13921420","chr13",27551747,"","OpenSea","450K"
"cg07869232","chr13",114790349,"RASA3","S_Shelf","450K"
"cg18702971","chr22",29920546,"THOC5;THOC5;THOC5;THOC5","OpenSea","450K"
"cg12670943","chr22",43006541,"POLDIP3;POLDIP3","N_Shelf","450K"
"cg15893295","chr6",14277043,"","OpenSea","450K"
"cg02888894","chr20",62660605,"PRPF6","N_Shore","450K"
"cg17910470","chr17",76795278,"USP36","N_Shelf","450K"
"cg02131674","chr5",17341065,"","OpenSea","450K"
"cg23448998","chr17",17110353,"PLD6","S_Shore","450K"
"cg26852404","chr2",3640456,"","N_Shelf","450K"
"cg14334350","chr9",139400168,"NOTCH1","Island","450K"
"cg09259843","chr2",25452362,"","OpenSea","450K"
"cg23598480","chr2",60102800,"","OpenSea","450K"
"cg07349663","chr1",160261619,"COPA;COPA","OpenSea","450K"
"cg17749033","chr17",80197412,"","S_Shore","450K"
"cg17237086","chr22",40814966,"MKL1","Island","450K"
"cg23777956","chr19",4153671,"CREB3L3;CREB3L3","OpenSea","450K"
"cg22052143","chr5",78067856,"","OpenSea","450K"
"cg18770579","chr19",50191342,"C19orf76;PRMT1;PRMT1;PRMT1","Island","450K"
"cg03373887","chr22",44389424,"SAMM50","N_Shelf","450K"
"cg06926362","chr19",3224848,"BRUNOL5","Island","450K"
"cg07799005","chr11",65265684,"MALAT1","S_Shore","450K"
"cg24540678","chr8",28258603,"","N_Shore","450K"
"cg01940273","chr2",233284934,"","Island","450K"
"cg23599026","chr10",102268546,"SEC31B","OpenSea","450K"
"cg09535960","chr8",23193704,"LOXL2","OpenSea","450K"
"cg19267205","chr1",9781963,"PIK3CD","OpenSea","450K"
"cg04310331","chr11",2012332,"LOC100133545","N_Shore","450K"
"cg07690768","chr12",32370933,"BICD1;BICD1","OpenSea","450K"
"cg11129609","chr6",33247250,"WDR46;WDR46","S_Shore","450K"
"cg03393889","chr16",2094700,"NTHL1","N_Shelf","450K"
"cg25009842","chr6",157505558,"ARID1B;ARID1B;ARID1B","OpenSea","450K"
"cg24238409","chr10",93998677,"CPEB3","N_Shore","450K"
"cg00923634","chr1",25968448,"MAN1C1","OpenSea","450K"
"cg24408776","chr1",203098067,"ADORA1;ADORA1","S_Shore","450K"
"cg02237172","chr3",50380958,"ZMYND10","N_Shore","450K"
"cg03217115","chr2",118942841,"","N_Shore","450K"
"cg11095027","chr11",1297066,"TOLLIP","N_Shore","450K"
"cg16274890","chr3",127299325,"TPRA1;TPRA1;TPRA1","OpenSea","450K"
"cg03896269","chr1",180447588,"ACBD6","OpenSea","450K"
"cg02097604","chr17",17750910,"TOM1L2;TOM1L2","OpenSea","450K"
"cg01304182","chr16",30409908,"ZNF48","N_Shore","450K"
"cg16969872","chr13",79968324,"RBM26","OpenSea","450K"
"cg15544402","chr2",24299646,"SF3B14","N_Shore","450K"
"cg23511909","chr3",128340787,"RPN1","S_Shelf","450K"
"cg05203855","chr19",7994445,"TIMM44","N_Shelf","450K"
"cg16526705","chr19",17284481,"MYO9B;MYO9B","S_Shore","450K"
"cg14024242","chr9",1042869,"","Island","450K"
"cg22730029","chr13",41593582,"ELF1","OpenSea","450K"
"cg15848159","chr4",85791643,"WDFY3;WDFY3","OpenSea","450K"
"cg24301690","chr3",128712676,"KIAA1257","Island","450K"
"cg16008966","chr1",114761794,"","OpenSea","450K"
"cg22425466","chr9",140115987,"RNF208","Island","450K"
"cg03107987","chr19",3481960,"C19orf77","Island","450K"
"cg05991220","chr3",52813859,"ITIH1;ITIH1;ITIH1;ITIH1","OpenSea","450K"
"cg11624345","chr19",44278551,"KCNN4","Island","450K"
"cg00247963","chr16",20863151,"","OpenSea","450K"
"cg25302603","chr11",65392829,"PCNXL3","OpenSea","450K"
"cg11370064","chr3",78318277,"","OpenSea","450K"
"cg14205864","chr13",113841719,"PCID2;PCID2;PCID2","OpenSea","450K"
"cg12269535","chr6",43142014,"SRF","Island","450K"
"cg06829760","chr2",16845412,"FAM49A","OpenSea","450K"
"cg03734391","chr19",56182200,"U2AF2;U2AF2","N_Shelf","450K"
"cg21048162","chr14",75988356,"BATF","OpenSea","450K"
"cg14679780","chr19",4059525,"ZBTB7A","N_Shore","450K"
"cg09585333","chr11",65340843,"FAM89B;FAM89B;FAM89B","N_Shore","450K"
"cg21925493","chr9",95858671,"C9orf89","Island","450K"
"cg06186155","chr17",46648582,"HOXB3","OpenSea","450K"
"cg04569152","chr14",21555603,"FLJ10357","N_Shelf","450K"
"cg12182124","chr18",21451563,"LAMA3;LAMA3;LAMA3;LAMA3","OpenSea","450K"
"cg19925599","chr3",126857123,"","S_Shelf","450K"
"cg18432441","chr11",8106632,"TUB;TUB","S_Shelf","450K"
"cg10142520","chr11",65344604,"EHBP1L1","S_Shore","450K"
"cg20941894","chr5",17147858,"LOC285696","OpenSea","450K"
"cg03286774","chr16",89590357,"SPG7;SPG7","S_Shore","450K"
"cg10370262","chr7",151396512,"PRKAG2;PRKAG2","OpenSea","450K"
"cg04682775","chr1",44495089,"SLC6A9","N_Shore","450K"
"cg19668951","chr11",47430812,"SLC39A13;SLC39A13","S_Shore","450K"
"cg18482892","chr3",56833426,"ARHGEF3;ARHGEF3","N_Shelf","450K"
