,Raw Sites,Unique sites,Chromosome,Base Pair,Gene
,cg20723436,cg21628794,,,
,cg05530630,cg22635008,,,
,cg03074663,cg20283716,,,
,cg10729312,cg06802565,,,
,cg00584000,cg00030466,,,
,cg08324152,cg17591741,,,
,cg16389456,cg09183840,,,
,cg09249494,cg27176628,,,
,cg05804170,cg23873654,,,
,cg19335436,cg17003395,,,
,cg04661001,cg04678713,,,
,cg27427581,cg02711608,,,
,cg12461469,cg20306694,,,
,cg00622375,cg26369667,,,
,cg01895890,cg26008007,,,
,cg06644515,cg19692318,,,
,cg18495484,cg24537348,,,
,cg23272399,cg19706803,,,
,cg06223736,cg06516445,,,
,cg06894612,cg06523224,,,
,cg18315834,cg05962079,,,
,cg25446604,cg20624830,,,
,cg03431111,cg01305596,,,
,cg15221739,cg02995045,,,
,cg07544038,cg16014412,,,
,cg22365240,cg00907427,,,
,cg02365514,cg27537125,,,
,cg02847185,cg01236573,,,
,cg14476101,cg07173823,,,
,cg23051792,cg03725309,,,
,cg00220102,cg18933331,,,
,cg06368590,cg16246545,,,
,cg09901532,cg19266329,,,
,cg08376310,cg10401367,,,
,cg05042743,cg19238380,,,
,cg06442240,cg04843111,,,
,cg07949597,cg00045114,,,
,cg24996930,cg16290996,,,
,cg20513447,cg13222915,,,
,cg24717024,cg00567854,,,
,cg17464436,cg19704902,,,
,cg21235078,cg24242519,,,
,cg02583484,cg21187770,,,
,cg26487157,cg01054402,,,
,cg12069540,cg09999582,,,
,cg11376147,cg18018313,,,
,cg07201996,cg06846495,,,
,cg27043159,cg05903736,,,
,cg05655953,cg23482898,,,
,cg22975318,cg05670953,,,
,cg06824394,cg12340144,,,
,cg21803245,cg09882118,,,
,cg04745997,cg25109663,,,
,cg14071612,cg17185710,,,
,cg15831060,cg00085438,,,
,cg06938101,cg12197470,,,
,cg26615853,cg14576319,,,
,cg08080174,cg06657944,,,
,cg17315500,cg01526748,,,
,cg20375320,cg05205842,,,
,cg00332153,cg04487857,,,
,cg21053741,cg22160883,,,
,cg04651583,cg12807764,,,
,cg25115993,cg19459094,,,
,cg00252472,cg09326440,,,
,cg07931411,cg11414821,,,
,cg21628794,cg02104962,,,
,cg22635008,cg11682350,,,
,cg20283716,cg18842187,,,
,cg06802565,cg08335767,,,
,cg15043384,cg18336453,,,
,cg00030466,cg04737759,,,
,cg17591741,cg22871253,,,
,cg09183840,cg21248060,,,
,cg27176628,cg16492851,,,
,cg17090968,cg04907244,,,
,cg23873654,cg16882373,,,
,cg17003395,cg21429551,,,
,cg04678713,cg20249277,,,
,cg02711608,cg05143694,,,
,cg26856289,cg17192599,,,
,cg20306694,cg02719954,,,
,cg26369667,cg02707799,,,
,cg26008007,cg20699548,,,
,cg19692318,cg11253416,,,
,cg12477533,cg11130692,,,
,cg24537348,cg00232160,,,
,cg07814318,cg07957491,,,
,cg19706803,cg06638811,,,
,cg06516445,cg03997643,,,
,cg18917643,cg10317175,,,
,cg06523224,cg07104958,,,
,cg12825509,cg23444264,,,
,cg05962079,cg17485681,,,
,cg24429337,cg16407699,,,
,cg20624830,cg19939077,,,
,cg06690548,cg03599037,,,
,cg01305596,cg06996423,,,
,cg02995045,cg05457221,,,
,cg16014412,cg10665488,,,
,cg00907427,cg23299618,,,
,cg27537125,cg12616487,,,
,cg01236573,cg16977872,,,
,cg07173823,cg10816169,,,
,cg03725309,cg08962271,,,
,cg18933331,cg17058475,,,
,cg20970369,cg22986999,,,
,cg16246545,cg08115371,,,
,cg19266329,cg10010533,,,
,cg10401367,cg03331229,,,
,cg19238380,cg18282388,,,
,cg04843111,cg14741228,,,
,cg00045114,cg13442969,,,
,cg16290996,cg01687189,,,
,cg13222915,cg23975840,,,
,cg00567854,cg02499214,,,
,cg19704902,cg26829071,,,
,cg24242519,cg00986580,,,
,cg21187770,cg16702313,,,
,cg00883689,cg15821562,,,
,cg01054402,cg24754633,,,
,cg09999582,cg20303561,,,
,cg18018313,cg18125510,,,
,cg06846495,cg02394812,,,
,cg05903736,cg23893460,,,
,cg23482898,cg23166988,,,
,cg05670953,cg23654112,,,
,cg12340144,cg09175009,,,
,cg09882118,cg08766770,,,
,cg25109663,cg05683445,,,
,cg17185710,cg12688670,,,
,cg00085438,cg08916477,,,
,cg12197470,cg10121429,,,
,cg14576319,cg04491089,,,
,cg06657944,cg21870662,,,
,cg12825509,cg01620757,,,
,cg01526748,cg16696035,,,
,cg05205842,cg09155905,,,
,cg04487857,cg17757575,,,
,cg06690548,cg27492942,,,
,cg22160883,cg21626848,,,
,cg12807764,cg08677210,,,
,cg19459094,cg06940168,,,
,cg09326440,cg15253293,,,
,cg11414821,cg22332722,,,
,cg02104962,cg01859460,,,
,cg11682350,cg01614597,,,
,cg18842187,cg02489552,,,
,cg08335767,cg03524354,,,
,cg18336453,cg08559712,,,
,cg00252472,cg03184011,,,
,cg04737759,cg09365259,,,
,cg22871253,cg03013276,,,
,cg21248060,cg14588638,,,
,cg16492851,cg03954858,,,
,cg04907244,cg04134965,,,
,cg16882373,cg00716016,,,
,cg21429551,cg00103778,,,
,cg18032812,cg08688548,,,
,cg20249277,cg09191335,,,
,cg05143694,cg15049370,,,
,cg17192599,cg13121938,,,
,cg02719954,cg25221975,,,
,cg02707799,cg02256576,,,
,cg20699548,cg01883662,,,
,cg11253416,cg07387591,,,
,cg11130692,cg01001791,,,
,cg00232160,cg13706315,,,
,cg07957491,cg03523740,,,
,cg06638811,cg27477373,,,
,cg03997643,cg05303280,,,
,cg10317175,cg23028286,,,
,cg07104958,cg03458172,,,
,cg23444264,cg18076842,,,
,cg17485681,cg19825437,,,
,cg16407699,cg00717678,,,
,cg19939077,cg09801924,,,
,cg03599037,cg24135793,,,
,cg07504977,cg14718379,,,
,cg06996423,cg01373932,,,
,cg11613559,cg12680071,,,
,cg05457221,cg01005506,,,
,cg10665488,cg26103104,,,
,cg23299618,cg22007110,,,
,cg11376147,cg09284949,,,
,cg12616487,cg09635954,,,
,cg16977872,cg22499893,,,
,cg10816169,cg13442969LA,,,
,cg08962271,cg23728471,,,
,cg17058475,cg20732160,,,
,cg22986999,cg01278873,,,
,cg08115371,cg21550372,,,
,cg10010533,cg00256932,,,
,cg03331229,cg03546163,,,
,cg18282388,cg14395885,,,
,cg14741228,cg16423756,,,
,cg13442969,cg00359465,,,
,cg01687189,cg18487598,,,
,cg23975840,cg10381071,,,
,cg02499214,cg12825509LA,,,
,cg26829071,cg20970380,,,
,cg00986580,cg02538135,,,
,cg16702313,cg07866212,,,
,cg15821562,cg11704631,,,
,cg24754633,cg07769421,,,
,cg20303561,cg23747342,,,
,cg18125510,cg15690475,,,
,cg02394812,cg26841068,,,
,cg23893460,cg17953300,,,
,cg23166988,cg25673668,,,
,cg23654112,cg03401875,,,
,cg09175009,cg21786227,,,
,cg08766770,cg19731612,,,
,cg05683445,cg10891521,,,
,cg12688670,cg15636519,,,
,cg08916477,cg06937549,,,
,cg06469895,cg03404339,,,
,cg10121429,cg10803871,,,
,cg04491089,cg03163545,,,
,cg21870662,cg18289746,,,
,cg01620757,cg21194066,,,
,cg11237406,cg01182455,,,
,cg16696035,cg06232845,,,
,cg09155905,cg14259466,,,
,cg17757575,cg11697038,,,
,cg27492942,cg09482421,,,
,cg21626848,cg01881182,,,
,cg08677210,cg10035272,,,
,cg06940168,cg19939130,,,
,cg15253293,cg02633398,,,
,cg22332722,cg20699548LA,,,
,cg01859460,cg27017993,,,
,cg01614597,cg08250921,,,
,cg02489552,cg26284735,,,
,cg03524354,cg15033653,,,
,cg08559712,cg26340050,,,
,cg03184011,cg27155460,,,
,cg09365259,cg13866253,,,
,cg03013276,cg23352030,,,
,cg14588638,cg19536127,,,
,cg03954858,cg01156249,,,
,cg04134965,cg04978583,,,
,cg06690548,cg18121224,,,
,cg00716016,cg00407659,,,
,cg00103778,cg08695062,,,
,cg08688548,cg02314339,,,
,cg09191335,cg03887584,,,
,cg24713122,cg08307171,,,
,cg15049370,cg21845080,,,
,cg13121938,cg07912416,,,
,cg25221975,cg13547518,,,
,cg02256576,cg10603800,,,
,cg01883662,cg11494699,,,
,cg07387591,cg13966547,,,
,cg01001791,cg25746394,,,
,cg13706315,cg15326297,,,
,cg03523740,cg22537604,,,
,cg27477373,cg10361922,,,
,cg05303280,cg13341668,,,
,cg23028286,cg11899596,,,
,cg03458172,cg03394159,,,
,cg18076842,cg20414364,,,
,cg19825437,cg19525078,,,
,cg00717678,cg22496559,,,
,cg09801924,cg01628467,,,
,cg24135793,cg19821589,,,
,cg14718379,cg06059663,,,
,cg01373932,cg14014731,,,
,cg12680071,cg01017397,,,
,cg01005506,cg26829071LA,,,
,cg26103104,cg01877260,,,
,cg22007110,cg08204159,,,
,cg09284949,cg06825661,,,
,cg09635954,cg11302401,,,
,cg22499893,cg26687579,,,
,cg13442969LA,cg22503354,,,
,cg23728471,cg18595324,,,
,cg20732160,cg22954438,,,
,cg01278873,cg20283107,,,
,cg21550372,cg13836098,,,
,cg00256932,cg23684449,,,
,cg03546163,cg12474798,,,
,cg14395885,cg18068637,,,
,cg16423756,cg11791144,,,
,cg00359465,cg02346737,,,
,cg18487598,cg15329179,,,
,cg10381071,cg06549901,,,
,cg12825509LA,cg01022780,,,
,cg20970380,cg11724472,,,
,cg02538135,cg11599718,,,
,cg07866212,cg10692140,,,
,cg11704631,cg02171825,,,
,cg07769421,cg18120259,,,
,cg24136700,cg07375256,,,
,cg23747342,cg22304262,,,
,cg15690475,cg24134897,,,
,cg26841068,cg20146909,,,
,cg27653384,cg16615058,,,
,cg17953300,cg07167185,,,
,cg25673668,cg24707200,,,
,cg03401875,cg19458497,,,
,cg21786227,cg03877174,,,
,cg19731612,cg04460609,,,
,cg10891521,cg27546431,,,
,cg15636519,cg00116699,,,
,cg06937549,cg26959945,,,
,cg03404339,cg18763536,,,
,cg10803871,cg03068497,,,
,cg03163545,cg03260624,,,
,cg18289746,cg09940677,,,
,cg21194066,cg04800503,,,
,cg01182455,cg24711224,,,
,cg06232845,cg17962756,,,
,cg14259466,cg10179004,,,
,cg11697038,cg23205886,,,
,cg00294109,cg05194114,,,
,cg09482421,cg15664462,,,
,cg01881182,cg26599989,,,
,cg10035272,cg23598378,,,
,cg19939130,cg03967798,,,
,cg02633398,cg09652746,,,
,cg20699548LA,cg08857797,,,
,cg27017993,cg24628310,,,
,cg08250921,cg08545213,,,
,cg26284735,cg03045648,,,
,cg15705813,cg17466510,,,
,cg15033653,cg14817906,,,
,cg26340050,cg08317252,,,
,cg27155460,ch.3.82259654F,,,
,cg13866253,cg18912103,,,
,cg23352030,cg08122070,,,
,cg19536127,cg12137220,,,
,cg01156249,cg05261851,,,
,cg04978583,cg09365924,,,
,cg18121224,cg03788408,,,
,cg00407659,cg26335760,,,
,cg08695062,cg06323483,,,
,cg02314339,cg09924669,,,
,cg03887584,cg01425762,,,
,cg08307171,cg13921420,,,
,cg21845080,cg07869232,,,
,cg07912416,cg18702971,,,
,cg13547518,cg12670943,,,
,cg10603800,cg15893295,,,
,cg11494699,cg02888894,,,
,cg13966547,cg17910470,,,
,cg25746394,cg02131674,,,
,cg15326297,cg23448998,,,
,cg22537604,cg26852404,,,
,cg10361922,cg14334350,,,
,cg13341668,cg09259843,,,
,cg11899596,cg23598480,,,
,cg03394159,cg07349663,,,
,cg20414364,cg17749033,,,
,cg19525078,cg17237086,,,
,cg22496559,cg23777956,,,
,cg01628467,cg22052143,,,
,cg19821589,cg18770579,,,
,cg06059663,cg03373887,,,
,cg14014731,cg06926362,,,
,cg01017397,cg07799005,,,
,cg26829071LA,cg24540678,,,
,cg01877260,cg01940273,,,
,cg08204159,cg23599026,,,
,cg06825661,cg09535960,,,
,cg11302401,cg19267205,,,
,cg26687579,cg04310331,,,
,cg22503354,cg07690768,,,
,cg18595324,cg11129609,,,
,cg22954438,cg03393889,,,
,cg20283107,cg25009842,,,
,cg13836098,cg24238409,,,
,cg23684449,cg00923634,,,
,cg12474798,cg24408776,,,
,cg18068637,cg02237172,,,
,cg11791144,cg03217115,,,
,cg02346737,cg11095027,,,
,cg15329179,cg16274890,,,
,cg06549901,cg03896269,,,
,cg01022780,cg02097604,,,
,cg18034719,cg01304182,,,
,cg11724472,cg16969872,,,
,cg11599718,cg15544402,,,
,cg10692140,cg23511909,,,
,cg02171825,cg05203855,,,
,cg06690548,cg16526705,,,
,cg11376147,cg14024242,,,
,cg14476101,cg22730029,,,
,cg18120259,cg15848159,,,
,cg06644515,cg24301690,,,
,cg12825509,cg16008966,,,
,cg07375256,cg22425466,,,
,cg26856289,cg03107987,,,
,cg22304262,cg05991220,,,
,cg24134897,cg11624345,,,
,cg00252472,cg00247963,,,
,cg20146909,cg25302603,,,
,cg16057915,cg11370064,,,
,cg16615058,cg14205864,,,
,cg07167185,cg12269535,,,
,cg24707200,cg06829760,,,
,cg19458497,cg03734391,,,
,cg18349022,cg21048162,,,
,cg03877174,cg14679780,,,
,cg04460609,cg09585333,,,
,cg19731612,cg21925493,,,
,cg27546431,cg06186155,,,
,cg00116699,cg04569152,,,
,cg02583484,cg12182124,,,
,cg26959945,cg19925599,,,
,cg20732160,cg18432441,,,
,cg16260349,cg10142520,,,
,cg24694018,cg20941894,,,
,cg18763536,cg03286774,,,
,cg18917643,cg10370262,,,
,cg03068497,cg04682775,,,
,cg16834011,cg19668951,,,
,cg03260624,cg18482892,,,
,cg05512483,cg00210249,,,
,cg09940677,cg07252792,,,
,cg22904711,cg23325384,,,
,cg22994830,cg06230847,,,
,cg18336453,cg22467468,,,
,cg11704631,cg09823543,,,
,cg04800503,cg01137537,,,
,cg24711224,cg23036683,,,
,cg17962756,cg02101876,,,
,cg03759239,cg18806193,,,
,cg10179004,cg19510478,,,
,cg23205886,cg02506360,,,
,cg24695071,cg11064833,,,
,cg24136700,cg05112617,,,
,cg05194114,cg05307301,,,
,cg15664462,cg09245003,,,
,cg26599989,cg00263146,,,
,cg15537269,cg24334029,,,
,cg05820959,cg27230067,,,
,cg23598378,cg11100157,,,
,cg19862899,cg16951566,,,
,cg03967798,cg04010446,,,
,cg09652746,cg22753611,,,
,cg08857797,cg27658698,,,
,cg23014425,cg18939928,,,
,cg24628310,cg07807757,,,
,cg08545213,cg03538383,,,
,cg07714319,cg25471715,,,
,cg03045648,cg18141744,,,
,cg17466510,cg10653926,,,
,cg14817906,cg27144670,,,
,cg08317252,cg04110886,,,
,ch.3.82259654F,cg07059784,,,
,cg18912103,cg05039671,,,
,cg08122070,cg05337019,,,
,cg19939077,cg06978145,,,
,cg12137220,cg03393105,,,
,cg05261851,cg13784276,,,
,cg09365924,cg24208206,,,
,cg16719404,cg19010846,,,
,cg02719954,cg16544989,,,
,cg03788408,cg00574958,,,
,cg26335760,cg06906869,,,
,cg06323483,cg11719283,,,
,cg13442969,cg02874605,,,
,cg09924669,cg25886382,,,
,cg06885459,cg16119274,,,
,cg01425762,cg21488617,,,
,cg13921420,cg13287553,,,
,cg07869232,cg04503500,,,
,cg18702971,cg20292636,,,
,cg12670943,cg23418510,,,
,cg15893295,cg25312876,,,
,cg02888894,cg07091529,,,
,cg17910470,cg17580045,,,
,cg00422488,cg27225570,,,
,cg02131674,cg01593673,,,
,cg13571479,cg25298596,,,
,cg23448998,cg26159832,,,
,cg12340144,cg14625975,,,
,cg07504977,cg24102360,,,
,cg26852404,cg15602420,,,
,cg14334350,cg22952678,,,
,cg18282388,cg10303698,,,
,cg09259843,cg14369329,,,
,cg23482898,cg08129017,,,
,cg08625564,cg09364501,,,
,cg07814318,cg17439967,,,
,cg23598480,cg27554551,,,
,cg16113793,cg20954977,,,
,cg07349663,cg18954339,,,
,cg17749033,cg01595325,,,
,cg17237086,cg12623364,,,
,cg04487857,cg17183174,,,
,cg23777956,cg14514120,,,
,cg22052143,cg06223162,,,
,cg18770579,cg12667125,,,
,cg03373887,cg17778556,,,
,cg06926362,cg02086839,,,
,cg07799005,cg07319712,,,
,cg24540678,cg06673536,,,
,cg01940273,cg15525503,,,
,cg06846976,cg04724659,,,
,cg23599026,cg15851274,,,
,cg15117681,cg00558986,,,
,cg09535960,cg01382864,,,
,cg19267205,cg20443501,,,
,cg04310331,cg08367838,,,
,cg07690768,cg27111444,,,
,cg11129609,cg17163737,,,
,cg03393889,cg07731025,,,
,cg25009842,cg08175536,,,
,cg24238409,cg06824423,,,
,cg00923634,cg00176888,,,
,cg24408776,cg02128655,,,
,cg02237172,cg03285617,,,
,cg03217115,cg11238505,,,
,cg11095027,cg14852409,,,
,cg16274890,cg16999370,,,
,cg03896269,cg13993802,,,
,cg02097604,cg00522451,,,
,cg01304182,cg23042230,,,
,cg16969872,cg07774299,,,
,cg15544402,cg02938807,,,
,cg23511909,cg01394461,,,
,cg05203855,cg26726230,,,
,cg16526705,cg00125455,,,
,cg14024242,cg04276669,,,
,cg17301216,cg01528492,,,
,cg22730029,cg21680729,,,
,cg12069540,cg21766592,,,
,cg15848159,cg15589939,,,
,cg11613559,cg22166084,,,
,cg09326440,cg16505233,,,
,cg24301690,cg14501914,,,
,cg16008966,cg18954900,,,
,cg22425466,cg05853782,,,
,cg03107987,cg27219748,,,
,cg05991220,cg15408734,,,
,cg11624345,cg04232816,,,
,cg25197194,cg08973688,,,
,cg00247963,cg10158614,,,
,cg25302603,cg16251626,,,
,cg11370064,cg01829163,,,
,cg14205864,cg26894438,,,
,cg12269535,cg01196858,,,
,cg06829760,cg23939642,,,
,cg03734391,cg26012092,,,
,cg21048162,cg09887284,,,
,cg14679780,cg07796002,,,
,cg09585333,cg25579180,,,
,cg21925493,cg02339793,,,
,cg06186155,cg09336988,,,
,cg02578470,cg27396447,,,
,cg04569152,cg02192677,,,
,cg12182124,cg25082710,,,
,cg19925599,cg20153737,,,
,cg18432441,cg24332710,,,
,cg10142520,cg07699613,,,
,cg00105640,cg26426774,,,
,cg20941894,cg21712678,,,
,cg20522675,cg22404646,,,
,cg11253416,cg01252398,,,
,cg03286774,cg08741842,,,
,cg11826008,cg10228162,,,
,cg10370262,cg20856497,,,
,cg04682775,cg24593832,,,
,cg19668951,cg22314314,,,
,cg18482892,cg00574412,,,
,cg00294109,cg05185634,,,
,cg00210249,cg16724148,,,
,cg07252792,cg08772028,,,
,cg23325384,cg24319836,,,
,cg01182455,cg15855924,,,
,cg06230847,cg09496748,,,
,cg19805377,cg04737087,,,
,cg22467468,cg25139636,,,
,cg09823543,cg00061031,,,
,cg01137537,cg14277403,,,
,cg23036683,cg05155595,,,
,cg02101876,cg27464065,,,
,cg18806193,cg27366162,,,
,cg19510478,cg24727216,,,
,cg02506360,cg18696027,,,
,cg11064833,cg17016266,,,
,cg05112617,cg03732014,,,
,cg05307301,cg12194745,,,
,cg09245003,cg00419702,,,
,cg00263146,cg01180628,,,
,cg24334029,cg24655262,,,
,cg27230067,cg03764274,,,
,cg11100157,cg00536532,,,
,cg16951566,cg13477101,,,
,cg04010446,cg03059247,,,
,cg22753611,cg08782002,,,
,cg27658698,cg13311440,,,
,cg18939928,cg06180389,,,
,cg07807757,cg07413467,,,
,cg03538383,cg00908631,,,
,cg25471715,cg06799321,,,
,cg18141744,cg01179256,,,
,cg10653926,cg09791743,,,
,cg27144670,cg05242244,,,
,cg04110886,cg26033504,,,
,cg07059784,cg10395806,,,
,cg05039671,cg05522498,,,
,cg05337019,cg03576748,,,
,cg06978145,cg06228828,,,
,cg03393105,cg01017147,,,
,cg13784276,cg15150970,,,
,cg24208206,cg19273683,,,
,cg19010846,cg20033981,,,
,cg16544989,cg24361265,,,
,cg00574958,cg06009267,,,
,cg06906869,cg03332546,,,
,cg11719283,cg05510337,,,
,cg02874605,cg00001793,,,
,cg25886382,cg06225767,,,
,cg16119274,cg18824549,,,
,cg21488617,cg25710298,,,
,cg13287553,cg20362308,,,
,cg04503500,cg06468626,,,
,cg20292636,cg00166216,,,
,cg23418510,cg20306265,,,
,cg25312876,cg10813980,,,
,cg07091529,cg09906145,,,
,cg17580045,cg08893087,,,
,cg27225570,cg03068319,,,
,cg01593673,cg03805684,,,
,cg25298596,cg11327857,,,
,cg26159832,cg07529392,,,
,cg14625975,cg01040890,,,
,cg24102360,cg13816423,,,
,cg06395298,cg27407423,,,
,cg15602420,cg11491284,,,
,cg22952678,cg24675730,,,
,cg10303698,cg02359132,,,
,cg14369329,cg14975122,,,
,cg09635954,cg02654940,,,
,cg08129017,cg17002899,,,
,cg09364501,cg14034325,,,
,cg17439967,cg24469729,,,
,cg27554551,cg02647520,,,
,cg09981830,cg03845837,,,
,cg20954977,cg06619959,,,
,cg18954339,cg11555067,,,
,cg01595325,cg19978242,,,
,cg12623364,cg25045785,,,
,cg17183174,cg04864179,,,
,cg14514120,cg24131262,,,
,cg06223162,cg09898793,,,
,cg12667125,cg26846781,,,
,cg17778556,cg00842095,,,
,cg02086839,cg06934523,,,
,cg07319712,cg18533225,,,
,cg06673536,cg16062877,,,
,cg15525503,cg17918556,,,
,cg04724659,cg09723161,,,
,cg15851274,cg25741368,,,
,cg00558986,cg10575367,,,
,cg18034719,cg06738786,,,
,cg01382864,cg08973382,,,
,cg20443501,cg02812767,,,
,cg08367838,cg24150385,,,
,cg27111444,cg10788371,,,
,cg17163737,cg25306932,,,
,cg07731025,cg13702222,,,
,cg08175536,cg24139720,,,
,cg06824423,cg02341119,,,
,cg00176888,cg13050716,,,
,cg02128655,cg01438090,,,
,cg03285617,cg12430029,,,
,cg11238505,cg00163372,,,
,cg14852409,cg17073306,,,
,cg16999370,cg19534753,,,
,cg13993802,cg14316231,,,
,cg00522451,cg22384801,,,
,cg23042230,cg07209244,,,
,cg07774299,cg04367503,,,
,cg02938807,cg16167741,,,
,cg01394461,cg11765003,,,
,cg26726230,cg19030554,,,
,cg00125455,cg26196087,,,
,cg04276669,cg15059065,,,
,cg01528492,cg09008322,,,
,cg21680729,cg10944833,,,
,cg21766592,cg08496737,,,
,cg15589939,cg08244750,,,
,cg22166084,cg08479476,,,
,cg16505233,cg23445461,,,
,cg14501914,cg23015991,,,
,cg16340422,cg02004370,,,
,cg18954900,cg01211283,,,
,cg05853782,cg09423126,,,
,cg27219748,cg18262201,,,
,cg20970369,cg03084350,,,
,cg15408734,cg03958308,,,
,cg04232816,cg01676795,,,
,cg08973688,cg09190408,,,
,cg10158614,cg26645468,,,
,cg16700555,cg16179607,,,
,cg16251626,cg07298431,,,
,cg22365240,cg06868100,,,
,cg01829163,cg08123207,,,
,cg26894438,cg09154256,,,
,cg15561453,cg12699865,,,
,cg01196858,cg25406442,,,
,cg23939642,cg18183961,,,
,cg26012092,cg02855207,,,
,cg09887284,cg04577162,,,
,cg07796002,cg18033416,,,
,cg25579180,cg25840926,,,
,cg27020362,cg19494100,,,
,cg02339793,cg13532004,,,
,cg09336988,cg01475538,,,
,cg27396447,cg14854355,,,
,cg02192677,cg26847866,,,
,cg25082710,cg00658151,,,
,cg20153737,cg13584258,,,
,cg24332710,cg06720467,,,
,cg07699613,cg10040131,,,
,cg26426774,cg00347863,,,
,cg21712678,cg00718036,,,
,cg22404646,cg11681597,,,
,cg01252398,cg06441398,,,
,cg08741842,cg11851129,,,
,cg10228162,cg25446191,,,
,cg20856497,cg19497444,,,
,cg24593832,cg02257517,,,
,cg22314314,cg13716321,,,
,cg00574412,cg23031196,,,
,cg07974833,cg05438378,,,
,cg05185634,cg19712659,,,
,cg16724148,cg08754067,,,
,cg08772028,cg25643223,,,
,cg24319836,cg26531804,,,
,cg15855924,cg05958351,,,
,cg09496748,cg18241337,,,
,cg04737087,cg25831522,,,
,cg25139636,cg23264429,,,
,cg00061031,cg04230060,,,
,cg14277403,cg00937359,,,
,cg05155595,cg03607573,,,
,cg27464065,cg04852339,,,
,cg27366162,cg17662369,,,
,cg24727216,cg04370442,,,
,cg18696027,cg18973101,,,
,cg17016266,cg02892925,,,
,cg03732014,cg09540738,,,
,cg12194745,cg14064762,,,
,cg00419702,cg15931839,,,
,cg01180628,cg25944717,,,
,cg20306694,cg05439368,,,
,cg00567854,cg17980786,,,
,cg24655262,cg23120725,,,
,cg03764274,cg26143577,,,
,cg00536532,cg10416593,,,
,cg13477101,cg26744362,,,
,cg03059247,cg02405476,,,
,cg08782002,cg19197419,,,
,cg13311440,cg26588061,,,
,cg06180389,cg14387743,,,
,cg17641566,cg01792532,,,
,cg07413467,cg14659930,,,
,cg00908631,cg10105237,,,
,cg06799321,cg11903133,,,
,cg01179256,cg27438128,,,
,cg09791743,cg01419539,,,
,cg05242244,cg24413918,,,
,cg26033504,cg16639915,,,
,cg10395806,cg07808761,,,
,cg05522498,cg12984877,,,
,cg03576748,cg02749105,,,
,cg06228828,cg00062437,,,
,cg01017147,cg00550955,,,
,cg15150970,cg00874073,,,
,cg19273683,cg00880872,,,
,cg20033981,cg00972246,,,
,cg24361265,cg01439754,,,
,cg06009267,cg01621943,,,
,cg03332546,cg01941278,,,
,cg05510337,cg02470690,,,
,cg00001793,cg03223172,,,
,cg06225767,cg03671431,,,
,cg18824549,cg03680873,,,
,cg25710298,cg04091927,,,
,cg20362308,cg04745384,,,
,cg06468626,cg05523603,,,
,cg00166216,cg06951627,,,
,cg20306265,cg07519229,,,
,cg10813980,cg08616943,,,
,cg09906145,cg09391066,,,
,cg08893087,cg09613192,,,
,cg03068319,cg09650731,,,
,cg03805684,cg10676309,,,
,cg11327857,cg11007850,,,
,cg07529392,cg11220565,,,
,cg01040890,cg12258344,,,
,cg13816423,cg14071869,,,
,cg27407423,cg14264316,,,
,cg11491284,cg14286292,,,
,cg24675730,cg14756878,,,
,cg15221739,cg15915658,,,
,cg02359132,cg17241841,,,
,cg14975122,cg17284553,,,
,cg02654940,cg17877600,,,
,cg17002899,cg18090646,,,
,cg14034325,cg19202618,,,
,cg24469729,cg19373099,,,
,cg02647520,cg19678968,,,
,cg03845837,cg21161526,,,
,cg12754982,cg21871338,,,
,cg06619959,cg23051123,,,
,cg11555067,cg25305703,,,
,cg19978242,cg27593537,,,
,cg25045785,cg22510139,,,
,cg04864179,cg00546117,,,
,cg18018313,cg17164905,,,
,cg24131262,cg11980897,,,
,cg09898793,cg20948740,,,
,cg26846781,cg24642820,,,
,cg08376310,cg08840551,,,
,cg00842095,cg01201215,,,
,cg06934523,cg17768768,,,
,cg18533225,cg06189038,,,
,cg16062877,cg20204986,,,
,cg17918556,cg18765542,,,
,cg09723161,cg00271311,,,
,cg25741368,cg05130679,,,
,cg10575367,cg21226442,,,
,cg06738786,cg27491190,,,
,cg08973382,cg16889557,,,
,cg02812767,cg06533408,,,
,cg24150385,cg24146100,,,
,cg10788371,cg24570624,,,
,cg25306932,cg03345232,,,
,cg24451117,cg27394566,,,
,cg13702222,cg26430287,,,
,cg24139720,cg05915866,,,
,cg02341119,cg12699156,,,
,cg13050716,cg19572487,,,
,cg01438090,cg00432454,,,
,cg12430029,cg00716257,,,
,cg00163372,cg07768103,,,
,cg17073306,cg00827581,,,
,cg19534753,cg07721872,,,
,cg02707799,cg06579345,,,
,cg14316231,cg04895225,,,
,cg22384801,cg07841371,,,
,cg07209244,cg04753163,,,
,cg07945582,cg01445100,,,
,cg04367503,cg21881034,,,
,cg24135793,cg15133201,,,
,cg16167741,cg10072464,,,
,cg11765003,cg21373806,,,
,cg19030554,cg00464927,,,
,cg26196087,cg26292521,,,
,cg15059065,cg02212339,,,
,cg09008322,cg10278046,,,
,cg10944833,cg13103051,,,
,cg08496737,cg13076829,,,
,cg08244750,cg06375580,,,
,cg08479476,cg16743273,,,
,cg26487157,cg02734358,,,
,cg23445461,ch.3.55501R,,,
,cg23015991,cg07664370,,,
,cg02004370,cg25115537,,,
,cg01211283,cg01199327,,,
,cg09423126,cg00872580,,,
,cg18262201,cg26457483,,,
,cg03084350,cg06088069,,,
,cg03958308,cg21998542,,,
,cg01676795,cg15837522,,,
